source_team_key	canonical_key	canonical_team_id	classification	legacy_members
legacy_dim_team:1056954591034	component:1056954591034	3000000000624	separate	1056954591034
legacy_dim_team:1057009645615	component:1057009645615	3000000000625	separate	1057009645615
legacy_dim_team:1057077031010	component:1057077031010	3000000000626	separate	1057077031010
legacy_dim_team:1057170275427	component:1057170275427	3000000000627	separate	1057170275427
legacy_dim_team:1057286709473	component:1057286709473	3000000000628	separate	1057286709473
legacy_dim_team:1057411334398	component:1057411334398	3000000000629	separate	1057411334398
legacy_dim_team:1057539939073	component:1057539939073	3000000000630	separate	1057539939073
legacy_dim_team:1057546389435	component:1057546389435	3000000000631	separate	1057546389435
legacy_dim_team:1057651448361	component:1057651448361	3000000000632	separate	1057651448361
legacy_dim_team:1057722440056	component:1057722440056	3000000000633	separate	1057722440056
legacy_dim_team:1057842737563	component:1057842737563	3000000000634	separate	1057842737563
legacy_dim_team:1057891965939	component:1057891965939	3000000000635	separate	1057891965939
legacy_dim_team:1057944917927	component:1057944917927	3000000000636	separate	1057944917927
legacy_dim_team:1058044096653	component:1058044096653	3000000000637	separate	1058044096653
legacy_dim_team:1058045911297	component:1058045911297	3000000000638	separate	1058045911297
legacy_dim_team:1058101776847	component:1058101776847	3000000000639	separate	1058101776847
legacy_dim_team:1058231416285	component:1058231416285	3000000000640	separate	1058231416285
legacy_dim_team:1058356211619	component:1058356211619	3000000000641	separate	1058356211619
legacy_dim_team:1058372592320	component:1058372592320	3000000000642	separate	1058372592320
legacy_dim_team:1058391215682	component:1058391215682	3000000000643	separate	1058391215682
legacy_dim_team:1058677691597	component:1058677691597	3000000000644	separate	1058677691597
legacy_dim_team:1058779312117	component:1058779312117	3000000000645	separate	1058779312117
legacy_dim_team:1058789263725	component:1058789263725	3000000000646	separate	1058789263725
legacy_dim_team:1058860900835	component:1058860900835	3000000000647	separate	1058860900835
legacy_dim_team:1058920882297	component:1058920882297	3000000000648	separate	1058920882297
legacy_dim_team:1058966687674	component:1058966687674	3000000000649	separate	1058966687674
legacy_dim_team:1059057487379	component:1059057487379	3000000000650	separate	1059057487379
legacy_dim_team:1059137574158	component:1059137574158	3000000000651	separate	1059137574158
legacy_dim_team:1059291907404	component:1059291907404	3000000000652	separate	1059291907404
legacy_dim_team:1059410640977	component:1059410640977	3000000000653	separate	1059410640977
legacy_dim_team:1059580118520	component:1059580118520	3000000000654	separate	1059580118520
legacy_dim_team:1059593416390	component:1059593416390	3000000000655	separate	1059593416390
legacy_dim_team:1059741948234	component:1059741948234	3000000000656	separate	1059741948234
legacy_dim_team:1059778850725	component:1059778850725	3000000000657	separate	1059778850725
legacy_dim_team:1059870420719	component:1059870420719	3000000000658	separate	1059870420719
legacy_dim_team:1060002729275	component:1060002729275	3000000000659	separate	1060002729275
legacy_dim_team:1060164324639	component:1060164324639	3000000000660	separate	1060164324639
legacy_dim_team:10661	component:10661	3000000000661	separate	10661
legacy_dim_team:10671	component:10671	3000000000662	separate	10671
legacy_dim_team:10683	component:10683	3000000000663	separate	10683
legacy_dim_team:10695	component:10695	3000000000664	separate	10695
legacy_dim_team:10722	component:10722	3000000000665	merge	10722,1029541845431
legacy_dim_team:1029541845431	component:10722	3000000000665	merge	10722,1029541845431
legacy_dim_team:10779	component:10779	3000000000666	separate	10779
legacy_dim_team:10809	component:10809	3000000000667	separate	10809
legacy_dim_team:10830	component:10830	3000000000668	separate	10830
legacy_dim_team:10840	component:10840	3000000000669	merge	10840,1024960067994
legacy_dim_team:1024960067994	component:10840	3000000000669	merge	10840,1024960067994
legacy_dim_team:1085	component:1085	3000000000670	merge	1085,1005606293214,1009936870090
legacy_dim_team:1005606293214	component:1085	3000000000670	merge	1085,1005606293214,1009936870090
legacy_dim_team:1009936870090	component:1085	3000000000670	merge	1085,1005606293214,1009936870090
legacy_dim_team:109275	component:109275	3000000000671	separate	109275
legacy_dim_team:1095	component:1095	3000000000672	merge	1095,963435620232,985487589841,1009536551244
legacy_dim_team:963435620232	component:1095	3000000000672	merge	1095,963435620232,985487589841,1009536551244
legacy_dim_team:985487589841	component:1095	3000000000672	merge	1095,963435620232,985487589841,1009536551244
legacy_dim_team:1009536551244	component:1095	3000000000672	merge	1095,963435620232,985487589841,1009536551244
legacy_dim_team:10976	component:10976	3000000000673	separate	10976
legacy_dim_team:10982	component:10982	3000000000674	separate	10982
legacy_dim_team:10987	component:10987	3000000000675	merge	10987,1035067532079
legacy_dim_team:1035067532079	component:10987	3000000000675	merge	10987,1035067532079
legacy_dim_team:11013	component:11013	3000000000676	separate	11013
legacy_dim_team:11126	component:11126	3000000000677	separate	11126
legacy_dim_team:1114	component:1114	3000000000678	separate	1114
legacy_dim_team:112	component:112	3000000000679	separate	112
legacy_dim_team:11235	component:11235	3000000000680	separate	11235
legacy_dim_team:11370	component:11370	3000000000681	separate	11370
legacy_dim_team:11452	component:11452	3000000000682	separate	11452
legacy_dim_team:115	component:115	3000000000683	separate	115
legacy_dim_team:11550	component:11550	3000000000684	separate	11550
legacy_dim_team:116	component:116	3000000000685	separate	116
legacy_dim_team:11620	component:11620	3000000000686	separate	11620
legacy_dim_team:11642	component:11642	3000000000687	separate	11642
legacy_dim_team:11646	component:11646	3000000000688	separate	11646
legacy_dim_team:11733	component:11733	3000000000689	separate	11733
legacy_dim_team:11833	component:11833	3000000000690	separate	11833
legacy_dim_team:11941	component:11941	3000000000691	separate	11941
legacy_dim_team:11986	component:11986	3000000000692	separate	11986
legacy_dim_team:12152	component:12152	3000000000693	merge	12152,989403871480
legacy_dim_team:989403871480	component:12152	3000000000693	merge	12152,989403871480
legacy_dim_team:12156	component:12156	3000000000694	separate	12156
legacy_dim_team:12157	component:12157	3000000000695	merge	12157,1028421315796,1035704066992
legacy_dim_team:1028421315796	component:12157	3000000000695	merge	12157,1028421315796,1035704066992
legacy_dim_team:1035704066992	component:12157	3000000000695	merge	12157,1028421315796,1035704066992
legacy_dim_team:12162	component:12162	3000000000696	separate	12162
legacy_dim_team:12180	component:12180	3000000000697	separate	12180
legacy_dim_team:12197	component:12197	3000000000698	separate	12197
legacy_dim_team:12217	component:12217	3000000000699	separate	12217
legacy_dim_team:12220	component:12220	3000000000700	merge	12220,984866799772,1022563212417
legacy_dim_team:984866799772	component:12220	3000000000700	merge	12220,984866799772,1022563212417
legacy_dim_team:1022563212417	component:12220	3000000000700	merge	12220,984866799772,1022563212417
legacy_dim_team:12230	component:12230	3000000000701	separate	12230
legacy_dim_team:12249	component:12249	3000000000702	separate	12249
legacy_dim_team:12277	component:12277	3000000000703	separate	12277
legacy_dim_team:12280	component:12280	3000000000704	separate	12280
legacy_dim_team:12294	component:12294	3000000000705	separate	12294
legacy_dim_team:12307	component:12307	3000000000706	separate	12307
legacy_dim_team:12317	component:12317	3000000000707	separate	12317
legacy_dim_team:12406	component:12406	3000000000708	separate	12406
legacy_dim_team:12408	component:12408	3000000000709	separate	12408
legacy_dim_team:12418	component:12418	3000000000710	separate	12418
legacy_dim_team:12506	component:12506	3000000000711	separate	12506
legacy_dim_team:12562	component:12562	3000000000712	separate	12562
legacy_dim_team:12622	component:12622	3000000000713	separate	12622
legacy_dim_team:12833	component:12833	3000000000714	separate	12833
legacy_dim_team:1294	component:1294	3000000000715	separate	1294
legacy_dim_team:13	component:13	3000000000716	merge	13,910000000029,1030877751199,1050342464706
legacy_dim_team:910000000029	component:13	3000000000716	merge	13,910000000029,1030877751199,1050342464706
legacy_dim_team:1030877751199	component:13	3000000000716	merge	13,910000000029,1030877751199,1050342464706
legacy_dim_team:1050342464706	component:13	3000000000716	merge	13,910000000029,1030877751199,1050342464706
legacy_dim_team:13144	component:13144	3000000000717	separate	13144
legacy_dim_team:13264	component:13264	3000000000718	separate	13264
legacy_dim_team:132687	component:132687	3000000000719	separate	132687
legacy_dim_team:13292	component:13292	3000000000720	separate	13292
legacy_dim_team:13330	component:13330	3000000000721	separate	13330
legacy_dim_team:134619	component:134619	3000000000722	separate	134619
legacy_dim_team:13671	component:13671	3000000000723	separate	13671
legacy_dim_team:13775	component:13775	3000000000724	merge	13775,963233262153
legacy_dim_team:963233262153	component:13775	3000000000724	merge	13775,963233262153
legacy_dim_team:13843	component:13843	3000000000725	separate	13843
legacy_dim_team:1401	component:1401	3000000000726	separate	1401
legacy_dim_team:14212	component:14212	3000000000727	separate	14212
legacy_dim_team:142941	component:142941	3000000000728	separate	142941
legacy_dim_team:1453	component:1453	3000000000729	separate	1453
legacy_dim_team:14594	component:14594	3000000000730	separate	14594
legacy_dim_team:14635	component:14635	3000000000731	separate	14635
legacy_dim_team:14684	component:14684	3000000000732	merge	14684,1023659666468
legacy_dim_team:1023659666468	component:14684	3000000000732	merge	14684,1023659666468
legacy_dim_team:14694	component:14694	3000000000733	separate	14694
legacy_dim_team:14700	component:14700	3000000000734	separate	14700
legacy_dim_team:14710	component:14710	3000000000735	separate	14710
legacy_dim_team:14750	component:14750	3000000000736	separate	14750
legacy_dim_team:14762	component:14762	3000000000737	separate	14762
legacy_dim_team:14768	component:14768	3000000000738	separate	14768
legacy_dim_team:147867	component:147867	3000000000739	separate	147867
legacy_dim_team:14788	component:14788	3000000000740	separate	14788
legacy_dim_team:14798	component:14798	3000000000741	separate	14798
legacy_dim_team:14800	component:14800	3000000000742	separate	14800
legacy_dim_team:14810	component:14810	3000000000743	separate	14810
legacy_dim_team:14812	component:14812	3000000000744	separate	14812
legacy_dim_team:14824	component:14824	3000000000745	separate	14824
legacy_dim_team:14825	component:14825	3000000000746	separate	14825
legacy_dim_team:14859	component:14859	3000000000747	separate	14859
