competition_key,season,team_id,matches,covered_by_external_dated_fact,coverage_pct
champions_league,2022,676,6,0,0.0
champions_league,2022,682,4,0,0.0
champions_league,2022,724,4,0,0.0
champions_league,2022,847,1,0,0.0
champions_league,2022,939,4,0,0.0
champions_league,2022,1001,6,0,0.0
champions_league,2022,1668,8,0,0.0
champions_league,2022,2417,4,0,0.0
champions_league,2022,2673,4,0,0.0
champions_league,2022,2688,4,0,0.0
champions_league,2022,2742,6,0,0.0
champions_league,2022,2930,13,0,0.0
champions_league,2022,2973,4,0,0.0
champions_league,2022,3357,2,0,0.0
champions_league,2022,3468,12,0,0.0
champions_league,2022,3599,2,0,0.0
champions_league,2022,3712,2,0,0.0
champions_league,2022,3958,2,0,0.0
champions_league,2022,4400,1,0,0.0
champions_league,2022,4493,4,0,0.0
champions_league,2022,5202,2,0,0.0
champions_league,2022,5284,2,0,0.0
champions_league,2022,5317,8,0,0.0
champions_league,2022,5504,6,0,0.0
champions_league,2022,5686,2,0,0.0
champions_league,2022,5834,2,0,0.0
champions_league,2022,6213,2,0,0.0
champions_league,2022,6315,2,0,0.0
champions_league,2022,6452,2,0,0.0
champions_league,2022,6556,2,0,0.0
champions_league,2022,6789,2,0,0.0
champions_league,2022,7980,6,0,0.0
champions_league,2022,10068,2,0,0.0
champions_league,2022,17303,2,0,0.0
champions_league,2022,228494,2,0,0.0
champions_league,2023,9,10,0,0.0
champions_league,2023,14,6,0,0.0
champions_league,2023,19,10,0,0.0
champions_league,2023,20,6,0,0.0
champions_league,2023,34,12,0,0.0
champions_league,2023,43,8,0,0.0
champions_league,2023,44,2,0,0.0
champions_league,2023,49,6,0,0.0
champions_league,2023,53,6,0,0.0
champions_league,2023,62,4,0,0.0
champions_league,2023,85,14,0,0.0
champions_league,2023,112,2,0,0.0
champions_league,2023,113,6,0,0.0
champions_league,2023,207,2,0,0.0
champions_league,2023,271,6,0,0.0
champions_league,2023,277,8,0,0.0
champions_league,2023,290,6,0,0.0
champions_league,2023,295,2,0,0.0
champions_league,2023,328,8,0,0.0
champions_league,2023,526,4,0,0.0
champions_league,2023,571,8,0,0.0
champions_league,2023,579,2,0,0.0
champions_league,2023,597,8,0,0.0
champions_league,2023,605,6,0,0.0
champions_league,2023,621,6,0,0.0
champions_league,2023,627,4,0,0.0
champions_league,2023,647,8,0,0.0
champions_league,2023,652,8,0,0.0
champions_league,2023,676,6,0,0.0
champions_league,2023,682,12,0,0.0
champions_league,2023,724,4,0,0.0
champions_league,2023,781,4,0,0.0
champions_league,2023,884,10,0,0.0
champions_league,2023,1001,4,0,0.0
champions_league,2023,1079,6,0,0.0
champions_league,2023,1453,6,0,0.0
champions_league,2023,1970,4,0,0.0
champions_league,2023,2417,6,0,0.0
champions_league,2023,2535,4,0,0.0
champions_league,2023,2673,6,0,0.0
champions_league,2023,2709,2,0,0.0
champions_league,2023,2727,2,0,0.0
champions_league,2023,2742,4,0,0.0
champions_league,2023,2930,8,0,0.0
champions_league,2023,3270,8,0,0.0
champions_league,2023,3357,2,0,0.0
champions_league,2023,3451,2,0,0.0
champions_league,2023,3468,13,0,0.0
champions_league,2023,3859,4,0,0.0
champions_league,2023,5197,2,0,0.0
champions_league,2023,5284,6,0,0.0
champions_league,2023,5317,4,0,0.0
champions_league,2023,5447,2,0,0.0
champions_league,2023,5487,2,0,0.0
champions_league,2023,5909,4,0,0.0
champions_league,2023,6213,4,0,0.0
champions_league,2023,6913,6,0,0.0
champions_league,2023,7980,10,0,0.0
champions_league,2023,8697,2,0,0.0
champions_league,2023,10068,2,0,0.0
champions_league,2023,11235,2,0,0.0
champions_league,2023,11452,2,0,0.0
champions_league,2023,11833,2,0,0.0
champions_league,2023,18968,1,0,0.0
